parDraw,param,stage,exposure,val,exposureNum
1,surv,recruits,low,0.10774330314427684,1
1,surv,subcanopy,low,0.2618213918823716,1
1,surv,canopy,low,0.22175207983043582,1
1,settlement,NA,low,837.7672680002324,1
2,surv,recruits,low,0.06990987538186097,1
2,surv,subcanopy,low,0.277220008982117,1
2,surv,canopy,low,0.40887865618466607,1
2,settlement,NA,low,515.3034128620957,1
3,surv,recruits,low,0.1755190438069522,1
3,surv,subcanopy,low,0.7658993872765653,1
3,surv,canopy,low,0.28164498173923946,1
3,settlement,NA,low,197.69720038140653,1
4,surv,recruits,low,0.07465888968666119,1
4,surv,subcanopy,low,0.35069018493413334,1
4,surv,canopy,low,0.5568432570986106,1
4,settlement,NA,low,801.4715883203437,1
5,surv,recruits,low,0.05776350149961684,1
5,surv,subcanopy,low,0.13828500665829788,1
5,surv,canopy,low,0.6797789645758809,1
5,settlement,NA,low,452.09329137641595,1
6,surv,recruits,low,0.15368334077862136,1
6,surv,subcanopy,low,0.19150114208059987,1
6,surv,canopy,low,0.3506757123242754,1
6,settlement,NA,low,760.9856955472521,1
7,surv,recruits,low,0.07627032296872185,1
7,surv,subcanopy,low,0.9249514627402706,1
7,surv,canopy,low,0.4187890662014104,1
7,settlement,NA,low,530.1574197441008,1
8,surv,recruits,low,0.15398755375875714,1
8,surv,subcanopy,low,0.2580596726765704,1
8,surv,canopy,low,0.5044825422782855,1
8,settlement,NA,low,193.91158791637082,1
9,surv,recruits,low,0.16214410470946455,1
9,surv,subcanopy,low,0.1700177613496463,1
9,surv,canopy,low,0.7351513445314182,1
9,settlement,NA,low,273.3897968448974,1
10,surv,recruits,low,0.15090238447589588,1
10,surv,subcanopy,low,0.8671238406624977,1
10,surv,canopy,low,0.6578261805674579,1
10,settlement,NA,low,249.4505930103895,1
11,surv,recruits,low,0.0233387009921153,1
11,surv,subcanopy,low,0.2782537516241101,1
11,surv,canopy,low,0.6982691569952595,1
11,settlement,NA,low,892.6947639844229,1
12,surv,recruits,low,0.03926307280906189,1
12,surv,subcanopy,low,0.4849059759026307,1
12,surv,canopy,low,0.7472838627432223,1
12,settlement,NA,low,575.1200614742115,1
13,surv,recruits,low,0.09719876699183329,1
13,surv,subcanopy,low,0.7641385129043031,1
13,surv,canopy,low,0.672753442213508,1
13,settlement,NA,low,437.37758919750826,1
14,surv,recruits,low,0.1762784110863813,1
14,surv,subcanopy,low,0.5412188236175591,1
14,surv,canopy,low,0.4288702105607411,1
14,settlement,NA,low,544.9871513300178,1
15,surv,recruits,low,0.01628034638482254,1
15,surv,subcanopy,low,0.2305691042903465,1
15,surv,canopy,low,0.5499276684786045,1
15,settlement,NA,low,862.4139226034133,1
16,surv,recruits,low,0.19550654325510822,1
16,surv,subcanopy,low,0.5311228453912651,1
16,surv,canopy,low,0.5869328739931285,1
16,settlement,NA,low,628.9762283115588,1
17,surv,recruits,low,0.09273256066185896,1
17,surv,subcanopy,low,0.316949167483526,1
17,surv,canopy,low,0.2865727573034633,1
17,settlement,NA,low,434.96704574900457,1
18,surv,recruits,low,0.013354021706281366,1
18,surv,subcanopy,low,0.4953658898096841,1
18,surv,canopy,low,0.1971809720160839,1
18,settlement,NA,low,393.05088984997343,1
19,surv,recruits,low,0.170283955960403,1
19,surv,subcanopy,low,0.17494037856681055,1
19,surv,canopy,low,0.48213029720281586,1
19,settlement,NA,low,470.3750563159108,1
20,surv,recruits,low,0.07780092298848915,1
20,surv,subcanopy,low,0.1414356146770207,1
20,surv,canopy,low,0.7157713650317463,1
20,settlement,NA,low,566.9761674831769,1
21,surv,recruits,low,0.14529405822657224,1
21,surv,subcanopy,low,0.3271724959807269,1
21,surv,canopy,low,0.5292863707246855,1
21,settlement,NA,low,480.2154732434861,1
22,surv,recruits,low,0.05470817366517115,1
22,surv,subcanopy,low,0.3514388541449419,1
22,surv,canopy,low,0.3688551524141537,1
22,settlement,NA,low,591.2052928646576,1
23,surv,recruits,low,0.11024894656837249,1
23,surv,subcanopy,low,0.6345747351047808,1
23,surv,canopy,low,0.1965059269477952,1
23,settlement,NA,low,707.5321304891379,1
24,surv,recruits,low,0.0694516407424991,1
24,surv,subcanopy,low,0.6481004869118221,1
24,surv,canopy,low,0.3153280449198953,1
24,settlement,NA,low,421.6355172952439,1
25,surv,recruits,low,0.06613001817061712,1
25,surv,subcanopy,low,0.36284360862441606,1
25,surv,canopy,low,0.556438703059826,1
25,settlement,NA,low,579.3679178944246,1
26,surv,recruits,low,0.12792815995250725,1
26,surv,subcanopy,low,0.809041831912805,1
26,surv,canopy,low,0.726968619183697,1
26,settlement,NA,low,192.16698947638616,1
27,surv,recruits,low,0.07296585682572007,1
27,surv,subcanopy,low,0.6349086959237441,1
27,surv,canopy,low,0.24067228531037527,1
27,settlement,NA,low,551.0252338279355,1
28,surv,recruits,low,0.12111924572743488,1
28,surv,subcanopy,low,0.7839024422470616,1
28,surv,canopy,low,0.4451313340012242,1
28,settlement,NA,low,851.343947067968,1
29,surv,recruits,low,0.04670535271794833,1
29,surv,subcanopy,low,0.3051581573675933,1
29,surv,canopy,low,0.18681105103865472,1
29,settlement,NA,low,773.1854413579956,1
30,surv,recruits,low,0.0948384057421567,1
30,surv,subcanopy,low,0.5777088662328983,1
30,surv,canopy,low,0.21344526954321968,1
30,settlement,NA,low,487.3232759596992,1
31,surv,recruits,low,0.16102779948088222,1
31,surv,subcanopy,low,0.20166119299175322,1
31,surv,canopy,low,0.5124804726910982,1
31,settlement,NA,low,555.416989603882,1
32,surv,recruits,low,0.05870102452448339,1
32,surv,subcanopy,low,0.519941361237741,1
32,surv,canopy,low,0.34609632948304103,1
32,settlement,NA,low,598.500399892934,1
33,surv,recruits,low,0.18863851487803457,1
33,surv,subcanopy,low,0.8027232319588797,1
33,surv,canopy,low,0.6631965945673,1
33,settlement,NA,low,837.9656890023791,1
34,surv,recruits,low,0.08715989413254562,1
34,surv,subcanopy,low,0.3854719063970378,1
34,surv,canopy,low,0.3555339365620691,1
34,settlement,NA,low,159.0726258866622,1
35,surv,recruits,low,0.14885561044690107,1
35,surv,subcanopy,low,0.5052433149392787,1
35,surv,canopy,low,0.5222860045279084,1
35,settlement,NA,low,847.1311773025095,1
36,surv,recruits,low,0.11488649334009964,1
36,surv,subcanopy,low,0.1909092423705367,1
36,surv,canopy,low,0.2316456085667442,1
36,settlement,NA,low,175.15018092469796,1
37,surv,recruits,low,0.0355955402585752,1
37,surv,subcanopy,low,0.671077784672152,1
37,surv,canopy,low,0.43089049290323705,1
37,settlement,NA,low,345.13329798245013,1
38,surv,recruits,low,0.11613519902765151,1
38,surv,subcanopy,low,0.42643685750729143,1
38,surv,canopy,low,0.6596571907976085,1
38,settlement,NA,low,831.0803622282044,1
39,surv,recruits,low,0.05594693756586925,1
39,surv,subcanopy,low,0.4849413081658505,1
39,surv,canopy,low,0.4357387329690183,1
39,settlement,NA,low,775.1759706389787,1
40,surv,recruits,low,0.1890510662344481,1
40,surv,subcanopy,low,0.24293014956845432,1
40,surv,canopy,low,0.586731970240131,1
40,settlement,NA,low,415.4626471027259,1
41,surv,recruits,low,0.12448297321017024,1
41,surv,subcanopy,low,0.24354951050341583,1
41,surv,canopy,low,0.24671249500403636,1
41,settlement,NA,low,369.3417278421276,1
42,surv,recruits,low,0.10292793575232806,1
42,surv,subcanopy,low,0.6689062716969588,1
42,surv,canopy,low,0.28556054084439847,1
42,settlement,NA,low,612.0341011979476,1
43,surv,recruits,low,0.00207532784981006,1
43,surv,subcanopy,low,0.11289382582000362,1
43,surv,canopy,low,0.24850391133210734,1
43,settlement,NA,low,255.5977945063303,1
44,surv,recruits,low,0.1682000725528301,1
44,surv,subcanopy,low,0.8965669986334217,1
44,surv,canopy,low,0.20893076743691336,1
44,settlement,NA,low,736.6607702610443,1
45,surv,recruits,low,0.09311967315637547,1
45,surv,subcanopy,low,0.2905086396391634,1
45,surv,canopy,low,0.2724212536050632,1
45,settlement,NA,low,570.7606271820978,1
46,surv,recruits,low,0.14565304426559345,1
46,surv,subcanopy,low,0.5783843603406486,1
46,surv,canopy,low,0.35843273066120174,1
46,settlement,NA,low,187.22808926443,1
47,surv,recruits,low,0.04320734392630436,1
47,surv,subcanopy,low,0.13610062080955904,1
47,surv,canopy,low,0.5725430246032774,1
47,settlement,NA,low,939.9365461859661,1
48,surv,recruits,low,0.09001649861441054,1
48,surv,subcanopy,low,0.36145186150545316,1
48,surv,canopy,low,0.5220264214945254,1
48,settlement,NA,low,206.19503567108774,1
49,surv,recruits,low,0.10542587811881575,1
49,surv,subcanopy,low,0.7818385807162841,1
49,surv,canopy,low,0.3958875056799872,1
49,settlement,NA,low,531.0181001477073,1
50,surv,recruits,low,0.09967893416936205,1
50,surv,subcanopy,low,0.7784726351893207,1
50,surv,canopy,low,0.7474893600139412,1
50,settlement,NA,low,840.9482871796276,1
51,surv,recruits,low,0.09213874113642495,1
51,surv,subcanopy,low,0.41116804846525384,1
